CVE_ENT,int_avg_speed,int_pct_3g_coverage,int_pct_4g_coverage,int_pct_5g_coverage,int_tech_predominante
01,53.68832649464967,13.031502835314495,50.17990604313475,36.788591121550766,4G
02,59.256375849480754,14.608175270062675,30.801298295227145,54.59052643471018,5G
03,56.513457116402115,8.417989417989418,33.902116402116405,57.67989417989418,5G
04,45.87300534255582,7.188950260604634,50.92004178937793,41.89100795001744,4G
05,53.00494650748013,15.362150611842056,38.720945083867015,45.91690430429093,5G
06,58.427878738871186,16.087400431124795,24.229550870239958,59.68304869863524,5G
07,33.72509813997712,25.66873553522478,45.32935964062156,29.001904824153662,4G
08,40.877247135338486,25.660058339875587,41.44803433521502,32.89190732490939,4G
09,51.95690137305697,6.405088062512724,35.73215875976851,57.862753177718766,5G
10,38.56277656410256,19.94985754985755,48.54188034188034,31.508262108262112,4G
11,35.723145902723346,22.07090011564407,45.829390559053955,32.09970932530198,4G
12,40.19391510891643,29.811049087364875,34.87849139164929,35.31045952098584,3G
13,39.587512633328785,21.916335717422673,42.358863479515655,35.724800803061676,4G
14,50.47587820131936,13.917117991872898,36.98030817188623,49.102573836240865,5G
15,38.26433501650608,22.27016574579692,40.16828760198114,37.56154665222194,4G
16,53.56979503139034,13.862637122746941,37.28692870304125,48.85043417421181,5G
17,48.82344476223956,17.115577186562433,41.02359496598041,41.86082784745715,4G
18,51.082464583791,13.717570157868666,37.33488940578493,48.94754043634641,5G
19,54.795383357754716,10.828919204250687,44.351982550731854,44.81909824501746,5G
20,32.80699318840488,35.501132066534545,35.5392968028417,28.95957113062376,3G
21,43.063541013057275,22.849038968874048,37.4887185803417,39.66224245078426,4G
22,44.75463335834161,35.011914227665876,29.64960271421101,35.33848305812311,5G
23,56.16701975661852,7.536796213156859,38.381730016870705,54.08147376997244,5G
24,30.151123409229967,27.541113032968315,54.13654878644611,18.32233818058558,4G
25,43.315914088708766,16.508198194461727,37.36030136412742,46.13150044141086,5G
26,49.05469479216147,9.316138148872428,52.19685600483146,38.487005846296114,4G
27,50.72749804938908,9.478324084957201,34.19823614770401,56.32343976733879,5G
28,47.29350576511039,18.642045078894096,39.6838413177348,41.6741136033711,5G
29,47.5391169435216,19.39922480620155,34.706533776301214,45.894241417497234,4G
30,37.419924304737194,25.45074473934762,42.20310009272421,32.34615516792816,4G
31,50.11360007198099,5.963891346324753,42.45787559382423,51.578233059851016,5G
32,36.17132039198874,22.490161808028844,42.94843468319923,34.561403508771924,4G
